dest_ip,metadata_id,metadata_serviceArea,metadata_serviceAreaDisplayName,metadata_urls,metadata_tcpPorts,metadata_udpPorts,metadata_expressRoute,metadata_category,metadata_required,metadata_notes
13.107.6.152/31,1,Exchange,Exchange Online,"['outlook.cloud.microsoft', 'outlook.office.com', 'outlook.office365.com']","80,443",443,True,Optimize,True,
13.107.18.10/31,1,Exchange,Exchange Online,"['outlook.cloud.microsoft', 'outlook.office.com', 'outlook.office365.com']","80,443",443,True,Optimize,True,
13.107.128.0/22,1,Exchange,Exchange Online,"['outlook.cloud.microsoft', 'outlook.office.com', 'outlook.office365.com']","80,443",443,True,Optimize,True,
23.103.160.0/20,1,Exchange,Exchange Online,"['outlook.cloud.microsoft', 'outlook.office.com', 'outlook.office365.com']","80,443",443,True,Optimize,True,
40.96.0.0/13,1,Exchange,Exchange Online,"['outlook.cloud.microsoft', 'outlook.office.com', 'outlook.office365.com']","80,443",443,True,Optimize,True,
40.104.0.0/15,1,Exchange,Exchange Online,"['outlook.cloud.microsoft', 'outlook.office.com', 'outlook.office365.com']","80,443",443,True,Optimize,True,
52.96.0.0/14,1,Exchange,Exchange Online,"['outlook.cloud.microsoft', 'outlook.office.com', 'outlook.office365.com']","80,443",443,True,Optimize,True,
131.253.33.215/32,1,Exchange,Exchange Online,"['outlook.cloud.microsoft', 'outlook.office.com', 'outlook.office365.com']","80,443",443,True,Optimize,True,
132.245.0.0/16,1,Exchange,Exchange Online,"['outlook.cloud.microsoft', 'outlook.office.com', 'outlook.office365.com']","80,443",443,True,Optimize,True,
150.171.32.0/22,1,Exchange,Exchange Online,"['outlook.cloud.microsoft', 'outlook.office.com', 'outlook.office365.com']","80,443",443,True,Optimize,True,
204.79.197.215/32,1,Exchange,Exchange Online,"['outlook.cloud.microsoft', 'outlook.office.com', 'outlook.office365.com']","80,443",443,True,Optimize,True,
2603:1006::/40,1,Exchange,Exchange Online,"['outlook.cloud.microsoft', 'outlook.office.com', 'outlook.office365.com']","80,443",443,True,Optimize,True,
2603:1016::/36,1,Exchange,Exchange Online,"['outlook.cloud.microsoft', 'outlook.office.com', 'outlook.office365.com']","80,443",443,True,Optimize,True,
2603:1026::/36,1,Exchange,Exchange Online,"['outlook.cloud.microsoft', 'outlook.office.com', 'outlook.office365.com']","80,443",443,True,Optimize,True,
2603:1036::/36,1,Exchange,Exchange Online,"['outlook.cloud.microsoft', 'outlook.office.com', 'outlook.office365.com']","80,443",443,True,Optimize,True,
2603:1046::/36,1,Exchange,Exchange Online,"['outlook.cloud.microsoft', 'outlook.office.com', 'outlook.office365.com']","80,443",443,True,Optimize,True,
2603:1056::/36,1,Exchange,Exchange Online,"['outlook.cloud.microsoft', 'outlook.office.com', 'outlook.office365.com']","80,443",443,True,Optimize,True,
2620:1ec:4::152/128,1,Exchange,Exchange Online,"['outlook.cloud.microsoft', 'outlook.office.com', 'outlook.office365.com']","80,443",443,True,Optimize,True,
2620:1ec:4::153/128,1,Exchange,Exchange Online,"['outlook.cloud.microsoft', 'outlook.office.com', 'outlook.office365.com']","80,443",443,True,Optimize,True,
2620:1ec:c::10/128,1,Exchange,Exchange Online,"['outlook.cloud.microsoft', 'outlook.office.com', 'outlook.office365.com']","80,443",443,True,Optimize,True,
2620:1ec:c::11/128,1,Exchange,Exchange Online,"['outlook.cloud.microsoft', 'outlook.office.com', 'outlook.office365.com']","80,443",443,True,Optimize,True,
2620:1ec:d::10/128,1,Exchange,Exchange Online,"['outlook.cloud.microsoft', 'outlook.office.com', 'outlook.office365.com']","80,443",443,True,Optimize,True,
2620:1ec:d::11/128,1,Exchange,Exchange Online,"['outlook.cloud.microsoft', 'outlook.office.com', 'outlook.office365.com']","80,443",443,True,Optimize,True,
2620:1ec:8f0::/46,1,Exchange,Exchange Online,"['outlook.cloud.microsoft', 'outlook.office.com', 'outlook.office365.com']","80,443",443,True,Optimize,True,
2620:1ec:900::/46,1,Exchange,Exchange Online,"['outlook.cloud.microsoft', 'outlook.office.com', 'outlook.office365.com']","80,443",443,True,Optimize,True,
2620:1ec:a92::152/128,1,Exchange,Exchange Online,"['outlook.cloud.microsoft', 'outlook.office.com', 'outlook.office365.com']","80,443",443,True,Optimize,True,
2620:1ec:a92::153/128,1,Exchange,Exchange Online,"['outlook.cloud.microsoft', 'outlook.office.com', 'outlook.office365.com']","80,443",443,True,Optimize,True,
13.107.6.152/31,2,Exchange,Exchange Online,"['outlook.office365.com', 'smtp.office365.com']","143, 587, 993, 995",,True,Allow,False,"POP3, IMAP4, SMTP Client traffic"
13.107.18.10/31,2,Exchange,Exchange Online,"['outlook.office365.com', 'smtp.office365.com']","143, 587, 993, 995",,True,Allow,False,"POP3, IMAP4, SMTP Client traffic"
13.107.128.0/22,2,Exchange,Exchange Online,"['outlook.office365.com', 'smtp.office365.com']","143, 587, 993, 995",,True,Allow,False,"POP3, IMAP4, SMTP Client traffic"
23.103.160.0/20,2,Exchange,Exchange Online,"['outlook.office365.com', 'smtp.office365.com']","143, 587, 993, 995",,True,Allow,False,"POP3, IMAP4, SMTP Client traffic"
40.96.0.0/13,2,Exchange,Exchange Online,"['outlook.office365.com', 'smtp.office365.com']","143, 587, 993, 995",,True,Allow,False,"POP3, IMAP4, SMTP Client traffic"
40.104.0.0/15,2,Exchange,Exchange Online,"['outlook.office365.com', 'smtp.office365.com']","143, 587, 993, 995",,True,Allow,False,"POP3, IMAP4, SMTP Client traffic"
52.96.0.0/14,2,Exchange,Exchange Online,"['outlook.office365.com', 'smtp.office365.com']","143, 587, 993, 995",,True,Allow,False,"POP3, IMAP4, SMTP Client traffic"
131.253.33.215/32,2,Exchange,Exchange Online,"['outlook.office365.com', 'smtp.office365.com']","143, 587, 993, 995",,True,Allow,False,"POP3, IMAP4, SMTP Client traffic"
132.245.0.0/16,2,Exchange,Exchange Online,"['outlook.office365.com', 'smtp.office365.com']","143, 587, 993, 995",,True,Allow,False,"POP3, IMAP4, SMTP Client traffic"
150.171.32.0/22,2,Exchange,Exchange Online,"['outlook.office365.com', 'smtp.office365.com']","143, 587, 993, 995",,True,Allow,False,"POP3, IMAP4, SMTP Client traffic"
204.79.197.215/32,2,Exchange,Exchange Online,"['outlook.office365.com', 'smtp.office365.com']","143, 587, 993, 995",,True,Allow,False,"POP3, IMAP4, SMTP Client traffic"
2603:1006::/40,2,Exchange,Exchange Online,"['outlook.office365.com', 'smtp.office365.com']","143, 587, 993, 995",,True,Allow,False,"POP3, IMAP4, SMTP Client traffic"
2603:1016::/36,2,Exchange,Exchange Online,"['outlook.office365.com', 'smtp.office365.com']","143, 587, 993, 995",,True,Allow,False,"POP3, IMAP4, SMTP Client traffic"
2603:1026::/36,2,Exchange,Exchange Online,"['outlook.office365.com', 'smtp.office365.com']","143, 587, 993, 995",,True,Allow,False,"POP3, IMAP4, SMTP Client traffic"
2603:1036::/36,2,Exchange,Exchange Online,"['outlook.office365.com', 'smtp.office365.com']","143, 587, 993, 995",,True,Allow,False,"POP3, IMAP4, SMTP Client traffic"
2603:1046::/36,2,Exchange,Exchange Online,"['outlook.office365.com', 'smtp.office365.com']","143, 587, 993, 995",,True,Allow,False,"POP3, IMAP4, SMTP Client traffic"
2603:1056::/36,2,Exchange,Exchange Online,"['outlook.office365.com', 'smtp.office365.com']","143, 587, 993, 995",,True,Allow,False,"POP3, IMAP4, SMTP Client traffic"
2620:1ec:4::152/128,2,Exchange,Exchange Online,"['outlook.office365.com', 'smtp.office365.com']","143, 587, 993, 995",,True,Allow,False,"POP3, IMAP4, SMTP Client traffic"
2620:1ec:4::153/128,2,Exchange,Exchange Online,"['outlook.office365.com', 'smtp.office365.com']","143, 587, 993, 995",,True,Allow,False,"POP3, IMAP4, SMTP Client traffic"
2620:1ec:c::10/128,2,Exchange,Exchange Online,"['outlook.office365.com', 'smtp.office365.com']","143, 587, 993, 995",,True,Allow,False,"POP3, IMAP4, SMTP Client traffic"
2620:1ec:c::11/128,2,Exchange,Exchange Online,"['outlook.office365.com', 'smtp.office365.com']","143, 587, 993, 995",,True,Allow,False,"POP3, IMAP4, SMTP Client traffic"
2620:1ec:d::10/128,2,Exchange,Exchange Online,"['outlook.office365.com', 'smtp.office365.com']","143, 587, 993, 995",,True,Allow,False,"POP3, IMAP4, SMTP Client traffic"
2620:1ec:d::11/128,2,Exchange,Exchange Online,"['outlook.office365.com', 'smtp.office365.com']","143, 587, 993, 995",,True,Allow,False,"POP3, IMAP4, SMTP Client traffic"
2620:1ec:8f0::/46,2,Exchange,Exchange Online,"['outlook.office365.com', 'smtp.office365.com']","143, 587, 993, 995",,True,Allow,False,"POP3, IMAP4, SMTP Client traffic"
2620:1ec:900::/46,2,Exchange,Exchange Online,"['outlook.office365.com', 'smtp.office365.com']","143, 587, 993, 995",,True,Allow,False,"POP3, IMAP4, SMTP Client traffic"
2620:1ec:a92::152/128,2,Exchange,Exchange Online,"['outlook.office365.com', 'smtp.office365.com']","143, 587, 993, 995",,True,Allow,False,"POP3, IMAP4, SMTP Client traffic"
2620:1ec:a92::153/128,2,Exchange,Exchange Online,"['outlook.office365.com', 'smtp.office365.com']","143, 587, 993, 995",,True,Allow,False,"POP3, IMAP4, SMTP Client traffic"
40.92.0.0/15,9,Exchange,Exchange Online,['*.protection.outlook.com'],443,,True,Allow,True,
40.107.0.0/16,9,Exchange,Exchange Online,['*.protection.outlook.com'],443,,True,Allow,True,
52.100.0.0/14,9,Exchange,Exchange Online,['*.protection.outlook.com'],443,,True,Allow,True,
52.238.78.88/32,9,Exchange,Exchange Online,['*.protection.outlook.com'],443,,True,Allow,True,
104.47.0.0/17,9,Exchange,Exchange Online,['*.protection.outlook.com'],443,,True,Allow,True,
2a01:111:f400::/48,9,Exchange,Exchange Online,['*.protection.outlook.com'],443,,True,Allow,True,
2a01:111:f403::/48,9,Exchange,Exchange Online,['*.protection.outlook.com'],443,,True,Allow,True,
40.92.0.0/15,10,Exchange,Exchange Online,"['*.mail.protection.outlook.com', '*.mx.microsoft']",25,,True,Allow,True,
40.107.0.0/16,10,Exchange,Exchange Online,"['*.mail.protection.outlook.com', '*.mx.microsoft']",25,,True,Allow,True,
52.100.0.0/14,10,Exchange,Exchange Online,"['*.mail.protection.outlook.com', '*.mx.microsoft']",25,,True,Allow,True,
104.47.0.0/17,10,Exchange,Exchange Online,"['*.mail.protection.outlook.com', '*.mx.microsoft']",25,,True,Allow,True,
2a01:111:f400::/48,10,Exchange,Exchange Online,"['*.mail.protection.outlook.com', '*.mx.microsoft']",25,,True,Allow,True,
2a01:111:f403::/48,10,Exchange,Exchange Online,"['*.mail.protection.outlook.com', '*.mx.microsoft']",25,,True,Allow,True,
52.112.0.0/14,11,Skype,Microsoft Teams,,,"3478,3479,3480,3481",True,Optimize,True,
52.122.0.0/15,11,Skype,Microsoft Teams,,,"3478,3479,3480,3481",True,Optimize,True,
2603:1063::/38,11,Skype,Microsoft Teams,,,"3478,3479,3480,3481",True,Optimize,True,
52.112.0.0/14,12,Skype,Microsoft Teams,"['*.lync.com', '*.teams.cloud.microsoft', '*.teams.microsoft.com', 'teams.cloud.microsoft', 'teams.microsoft.com']","80,443",443,True,Allow,True,
52.122.0.0/15,12,Skype,Microsoft Teams,"['*.lync.com', '*.teams.cloud.microsoft', '*.teams.microsoft.com', 'teams.cloud.microsoft', 'teams.microsoft.com']","80,443",443,True,Allow,True,
2603:1027::/48,12,Skype,Microsoft Teams,"['*.lync.com', '*.teams.cloud.microsoft', '*.teams.microsoft.com', 'teams.cloud.microsoft', 'teams.microsoft.com']","80,443",443,True,Allow,True,
2603:1037::/48,12,Skype,Microsoft Teams,"['*.lync.com', '*.teams.cloud.microsoft', '*.teams.microsoft.com', 'teams.cloud.microsoft', 'teams.microsoft.com']","80,443",443,True,Allow,True,
2603:1047::/48,12,Skype,Microsoft Teams,"['*.lync.com', '*.teams.cloud.microsoft', '*.teams.microsoft.com', 'teams.cloud.microsoft', 'teams.microsoft.com']","80,443",443,True,Allow,True,
2603:1057::/48,12,Skype,Microsoft Teams,"['*.lync.com', '*.teams.cloud.microsoft', '*.teams.microsoft.com', 'teams.cloud.microsoft', 'teams.microsoft.com']","80,443",443,True,Allow,True,
2603:1063::/38,12,Skype,Microsoft Teams,"['*.lync.com', '*.teams.cloud.microsoft', '*.teams.microsoft.com', 'teams.cloud.microsoft', 'teams.microsoft.com']","80,443",443,True,Allow,True,
2620:1ec:6::/48,12,Skype,Microsoft Teams,"['*.lync.com', '*.teams.cloud.microsoft', '*.teams.microsoft.com', 'teams.cloud.microsoft', 'teams.microsoft.com']","80,443",443,True,Allow,True,
2620:1ec:40::/42,12,Skype,Microsoft Teams,"['*.lync.com', '*.teams.cloud.microsoft', '*.teams.microsoft.com', 'teams.cloud.microsoft', 'teams.microsoft.com']","80,443",443,True,Allow,True,
13.107.136.0/22,31,SharePoint,SharePoint Online and OneDrive for Business,['*.sharepoint.com'],"80,443",443,True,Optimize,True,
40.108.128.0/17,31,SharePoint,SharePoint Online and OneDrive for Business,['*.sharepoint.com'],"80,443",443,True,Optimize,True,
52.104.0.0/14,31,SharePoint,SharePoint Online and OneDrive for Business,['*.sharepoint.com'],"80,443",443,True,Optimize,True,
104.146.128.0/17,31,SharePoint,SharePoint Online and OneDrive for Business,['*.sharepoint.com'],"80,443",443,True,Optimize,True,
150.171.40.0/22,31,SharePoint,SharePoint Online and OneDrive for Business,['*.sharepoint.com'],"80,443",443,True,Optimize,True,
2603:1061:1300::/40,31,SharePoint,SharePoint Online and OneDrive for Business,['*.sharepoint.com'],"80,443",443,True,Optimize,True,
2603:1063:6000::/35,31,SharePoint,SharePoint Online and OneDrive for Business,['*.sharepoint.com'],"80,443",443,True,Optimize,True,
2620:1ec:8f8::/46,31,SharePoint,SharePoint Online and OneDrive for Business,['*.sharepoint.com'],"80,443",443,True,Optimize,True,
2620:1ec:908::/46,31,SharePoint,SharePoint Online and OneDrive for Business,['*.sharepoint.com'],"80,443",443,True,Optimize,True,
2a01:111:f402::/48,31,SharePoint,SharePoint Online and OneDrive for Business,['*.sharepoint.com'],"80,443",443,True,Optimize,True,
13.107.6.171/32,46,Common,Microsoft 365 Common and Office Online,"['*.officeapps.live.com', '*.online.office.com', 'office.live.com']","80,443",,True,Allow,True,
13.107.18.15/32,46,Common,Microsoft 365 Common and Office Online,"['*.officeapps.live.com', '*.online.office.com', 'office.live.com']","80,443",,True,Allow,True,
13.107.140.6/32,46,Common,Microsoft 365 Common and Office Online,"['*.officeapps.live.com', '*.online.office.com', 'office.live.com']","80,443",,True,Allow,True,
52.108.0.0/14,46,Common,Microsoft 365 Common and Office Online,"['*.officeapps.live.com', '*.online.office.com', 'office.live.com']","80,443",,True,Allow,True,
52.244.37.168/32,46,Common,Microsoft 365 Common and Office Online,"['*.officeapps.live.com', '*.online.office.com', 'office.live.com']","80,443",,True,Allow,True,
2603:1006:1400::/40,46,Common,Microsoft 365 Common and Office Online,"['*.officeapps.live.com', '*.online.office.com', 'office.live.com']","80,443",,True,Allow,True,
2603:1016:2400::/40,46,Common,Microsoft 365 Common and Office Online,"['*.officeapps.live.com', '*.online.office.com', 'office.live.com']","80,443",,True,Allow,True,
2603:1026:2400::/40,46,Common,Microsoft 365 Common and Office Online,"['*.officeapps.live.com', '*.online.office.com', 'office.live.com']","80,443",,True,Allow,True,
2603:1036:2400::/40,46,Common,Microsoft 365 Common and Office Online,"['*.officeapps.live.com', '*.online.office.com', 'office.live.com']","80,443",,True,Allow,True,
2603:1046:1400::/40,46,Common,Microsoft 365 Common and Office Online,"['*.officeapps.live.com', '*.online.office.com', 'office.live.com']","80,443",,True,Allow,True,
2603:1056:1400::/40,46,Common,Microsoft 365 Common and Office Online,"['*.officeapps.live.com', '*.online.office.com', 'office.live.com']","80,443",,True,Allow,True,
2603:1063:2000::/38,46,Common,Microsoft 365 Common and Office Online,"['*.officeapps.live.com', '*.online.office.com', 'office.live.com']","80,443",,True,Allow,True,
2620:1ec:c::15/128,46,Common,Microsoft 365 Common and Office Online,"['*.officeapps.live.com', '*.online.office.com', 'office.live.com']","80,443",,True,Allow,True,
2620:1ec:8fc::6/128,46,Common,Microsoft 365 Common and Office Online,"['*.officeapps.live.com', '*.online.office.com', 'office.live.com']","80,443",,True,Allow,True,
2620:1ec:a92::171/128,46,Common,Microsoft 365 Common and Office Online,"['*.officeapps.live.com', '*.online.office.com', 'office.live.com']","80,443",,True,Allow,True,
